,variable_codename_use,variable_description_use,harmonized_categories,harmonized_categories_description,in_dataset
287,MCQ240E,Age when breast cancer was first diagnosed,16,16 years or younger,Questionnaire
288,MCQ240E,Age when breast cancer was first diagnosed,17-78,17-78 years old,Questionnaire
289,MCQ240E,Age when breast cancer was first diagnosed,17-79,17-79 years old,Questionnaire
290,MCQ240E,Age when breast cancer was first diagnosed,17-84,17-84 years old,Questionnaire
291,MCQ240E,Age when breast cancer was first diagnosed,80,80 years or older,Questionnaire
292,MCQ240E,Age when breast cancer was first diagnosed,85,85 years or older,Questionnaire
293,MCQ240E,Age when breast cancer was first diagnosed,99999,Don't know,Questionnaire
294,MCQ240E,Age when breast cancer was first diagnosed,77777,Refused,Questionnaire
295,MCQ240F,Age when cervical cancer was first diagnosed,16,16 years or younger,Questionnaire
296,MCQ240F,Age when cervical cancer was first diagnosed,17-65,17-65 years old,Questionnaire
297,MCQ240F,Age when cervical cancer was first diagnosed,17-73,17-73 years old,Questionnaire
298,MCQ240F,Age when cervical cancer was first diagnosed,80,80 years or older,Questionnaire
299,MCQ240F,Age when cervical cancer was first diagnosed,85,85 years or older,Questionnaire
300,MCQ240F,Age when cervical cancer was first diagnosed,99999,Don't know,Questionnaire
301,MCQ240F,Age when cervical cancer was first diagnosed,77777,Refused,Questionnaire
302,MCQ240G,Age when colon cancer was first diagnosed,16,16 years or younger,Questionnaire
303,MCQ240G,Age when colon cancer was first diagnosed,17-79,17-79 years old,Questionnaire
304,MCQ240G,Age when colon cancer was first diagnosed,17-84,17-84 years old,Questionnaire
305,MCQ240G,Age when colon cancer was first diagnosed,21-79,21-79 years old,Questionnaire
306,MCQ240G,Age when colon cancer was first diagnosed,80,80 years or older,Questionnaire
307,MCQ240G,Age when colon cancer was first diagnosed,85,85 years or older,Questionnaire
308,MCQ240G,Age when colon cancer was first diagnosed,99999,Don't know,Questionnaire
309,MCQ240G,Age when colon cancer was first diagnosed,77777,Refused,Questionnaire
310,MCQ240L,Age when leukemia was first diagnosed,17-70,17-70 years old,Questionnaire
311,MCQ240L,Age when leukemia was first diagnosed,17-75,17-75 years old,Questionnaire
312,MCQ240L,Age when leukemia was first diagnosed,28-84,28-84 years old,Questionnaire
313,MCQ240L,Age when leukemia was first diagnosed,16,16 years or younger,Questionnaire
314,MCQ240L,Age when leukemia was first diagnosed,80,80 years or older,Questionnaire
315,MCQ240L,Age when leukemia was first diagnosed,85,85 years or older,Questionnaire
316,MCQ240L,Age when leukemia was first diagnosed,99999,Don't know,Questionnaire
317,MCQ240L,Age when leukemia was first diagnosed,77777,Refused,Questionnaire
318,MCQ240N,Age when lung cancer was first diagnosed,16,16 years or younger,Questionnaire
319,MCQ240N,Age when lung cancer was first diagnosed,17-76,17-76 years old,Questionnaire
320,MCQ240N,Age when lung cancer was first diagnosed,17-84,17-84 years old,Questionnaire
321,MCQ240N,Age when lung cancer was first diagnosed,29-79,29-79 years old,Questionnaire
322,MCQ240N,Age when lung cancer was first diagnosed,80,80 years or older,Questionnaire
323,MCQ240N,Age when lung cancer was first diagnosed,85,85 years or older,Questionnaire
324,MCQ240N,Age when lung cancer was first diagnosed,99999,Don't know,Questionnaire
325,MCQ240N,Age when lung cancer was first diagnosed,77777,Refused,Questionnaire
326,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,16,16 years or younger,Questionnaire
327,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,17-76,17-76 years old,Questionnaire
328,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,17-80,17-80 years old,Questionnaire
329,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,19-79,19-79 years old,Questionnaire
330,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,80,80 years or older,Questionnaire
331,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,85,85 years or older,Questionnaire
332,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,99999,Don't know,Questionnaire
333,MCQ240O,Age when lymphoma or Hodgkin's Disease was first diagnosed,77777,Refused,Questionnaire
334,MCQ240P,Age when melanoma was first diagnosed,16,16 years or younger,Questionnaire
335,MCQ240P,Age when melanoma was first diagnosed,17-78,17-78 years old,Questionnaire
336,MCQ240P,Age when melanoma was first diagnosed,17-79,17-79 years old,Questionnaire
337,MCQ240P,Age when melanoma was first diagnosed,17-83,17-83 years old,Questionnaire
338,MCQ240P,Age when melanoma was first diagnosed,80,80 years or older,Questionnaire
339,MCQ240P,Age when melanoma was first diagnosed,85,85 years or older,Questionnaire
340,MCQ240P,Age when melanoma was first diagnosed,99999,Don't know,Questionnaire
341,MCQ240P,Age when melanoma was first diagnosed,77777,Refused,Questionnaire
342,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",16,16 years or younger,Questionnaire
343,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",17-79,17-79 years old,Questionnaire
344,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",27-70,27-70 years old,Questionnaire
345,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",30-70,30-70 years old,Questionnaire
346,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",80,80 years or older,Questionnaire
347,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",85,85 years or older,Questionnaire
348,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",99999,Don't know,Questionnaire
349,MCQ240Q,"Age when mouth, tongue, or lip cancer was first diagnosed",77777,Refused,Questionnaire
350,MCQ240U,Age when prostate cancer was first diagnosed,17-79,17-79 years old,Questionnaire
351,MCQ240U,Age when prostate cancer was first diagnosed,17-84,17-84 years old,Questionnaire
352,MCQ240U,Age when prostate cancer was first diagnosed,16,16 years or younger,Questionnaire
353,MCQ240U,Age when prostate cancer was first diagnosed,32-79,32-79 years old,Questionnaire
354,MCQ240U,Age when prostate cancer was first diagnosed,80,80 years or older,Questionnaire
355,MCQ240U,Age when prostate cancer was first diagnosed,85,85 years or older,Questionnaire
356,MCQ240U,Age when prostate cancer was first diagnosed,99999,Don't know,Questionnaire
357,MCQ240U,Age when prostate cancer was first diagnosed,77777,Refused,Questionnaire
358,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,16,16 years or younger,Questionnaire
359,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,17-78,17-78 years old,Questionnaire
360,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,17-79,17-79 years old,Questionnaire
361,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,17-84,17-84 years old,Questionnaire
362,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,80,80 years or older,Questionnaire
363,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,85,85 years or older,Questionnaire
364,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,99999,Don't know,Questionnaire
365,MCQ240W,Age when non-melanoma skin cancer was first diagnosed,77777,Refused,Questionnaire
366,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,16,16 years or younger,Questionnaire
367,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,17-79,17-79 years old,Questionnaire
368,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,17-84,17-84 years old,Questionnaire
369,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,18-79,18-79 years old,Questionnaire
370,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,80,80 years or older,Questionnaire
371,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,85,85 years or older,Questionnaire
372,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,99999,Don't know,Questionnaire
373,MCQ240X,Age when the unknown kind of skin cancer was first diagnosed,77777,Refused,Questionnaire
374,MCQ240Z,Age when stomach cancer was first diagnosed,16,16 years or younger,Questionnaire
375,MCQ240Z,Age when stomach cancer was first diagnosed,17-79,17-79 years old,Questionnaire
376,MCQ240Z,Age when stomach cancer was first diagnosed,22-82,22-82 years old,Questionnaire
377,MCQ240Z,Age when stomach cancer was first diagnosed,32-76,32-76 years old,Questionnaire
378,MCQ240Z,Age when stomach cancer was first diagnosed,80,80 years or older,Questionnaire
379,MCQ240Z,Age when stomach cancer was first diagnosed,85,85 years or older,Questionnaire
380,MCQ240Z,Age when stomach cancer was first diagnosed,99999,Don't know,Questionnaire
381,MCQ240Z,Age when stomach cancer was first diagnosed,77777,Refused,Questionnaire
382,MCQ280,About how old was she when she fractured her hip (the first time)?,1-101,1-101 years old,Questionnaire
383,MCQ280,About how old was she when she fractured her hip (the first time)?,555,50 +,Questionnaire
384,MCQ280,About how old was she when she fractured her hip (the first time)?,9-107,9-107 years old,Questionnaire
385,MCQ280,About how old was she when she fractured her hip (the first time)?,99999,Don't know,Questionnaire
386,MCQ280,About how old was she when she fractured her hip (the first time)?,77777,Refused,Questionnaire
387,MCQ280,About how old was she when she fractured her hip (the first time)?,444,Under 50,Questionnaire
388,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,16,16 years or younger,Questionnaire
389,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,17-79,17-79 years old,Questionnaire
390,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,17-85,17-85 years old,Questionnaire
391,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,80,80 years or older,Questionnaire
392,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,999,Don't know,Questionnaire
393,MCQ320,How old {were you/was SP} when {you/he} first had {your/his} PSA test?,777,Refused,Questionnaire
394,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,Nov-99,11-99 years old,Questionnaire
395,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,15-79,15-79 years old,Questionnaire
396,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,20-87,20-87 years old,Questionnaire
397,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,80,80 years or older,Questionnaire
398,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,90,90 + years,Questionnaire
399,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,99999,Don't know,Questionnaire
400,MCQ570,How old {were you/was SP} when {you /s/he} first had gallbladder surgery?,77777,Refused,Questionnaire
401,PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]",Jan-95,1-95 times,Questionnaire
402,PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]",Jan-99,1-99 times,Questionnaire
403,PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]",100,100 +,Questionnaire
404,PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]",99999,Don't know,Questionnaire
405,PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.]",77777,Refused,Questionnaire
406,PAD460,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",Jan-91,1-91 times,Questionnaire
407,PAD460,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",Jan-99,1-99 times,Questionnaire
408,PAD460,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",100,100 +,Questionnaire
409,PAD460,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",999,Don't know,Questionnaire
410,PAD460,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",777,Refused,Questionnaire
411,PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?",Jan-91,1-91 times,Questionnaire
412,PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?",Jan-99,1-99 times,Questionnaire
413,PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?",100,100 +,Questionnaire
414,PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?",99999,Don't know,Questionnaire
415,PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?",77777,Refused,Questionnaire
416,BMIWAIST,Waist Circumference Comment,1,Could not obtain,Response
417,NA,NA,1,Breakfast,Dietary
418,NA,NA,2,Brunch,Dietary
419,NA,NA,3,Lunch,Dietary
420,NA,NA,4,Snack/beverage,Dietary
421,NA,NA,5,Dinner/supper,Dietary
422,NA,NA,6,Infant feeding,Dietary
423,NA,NA,7,Extended consumption,Dietary
424,NA,NA,8,Other,Dietary
425,NA,NA,9,Desayuno (Spanish),Dietary
426,NA,NA,10,Almuerzo (Spanish),Dietary
427,NA,NA,11,Comida (Spanish),Dietary
428,NA,NA,12,Merienda (Spanish),Dietary
429,NA,NA,13,Cena (Spanish),Dietary
430,NA,NA,14,Entre comida/bebida (Spanish),Dietary
431,NA,NA,15,Bocadillo (Spanish),Dietary
432,NA,NA,16,Botana (Spanish),Dietary
433,NA,NA,99,Don't know,Dietary
434,NA,NA,2,Lunch,Dietary
435,NA,NA,3,Dinner/supper,Dietary
436,NA,NA,5,Brunch,Dietary
437,NA,NA,6,Snack/beverage,Dietary
438,NA,NA,8,Infant feeding,Dietary
439,NA,NA,9,Extended consumption,Dietary
440,NA,NA,10,Desayano (Spanish),Dietary
441,NA,NA,11,Almuerzo (Spanish),Dietary
442,NA,NA,12,Comida (Spanish),Dietary
443,NA,NA,13,Merienda (Spanish),Dietary
444,NA,NA,14,Cena (Spanish),Dietary
445,NA,NA,15,Entre comida/bebida/tentempie (Spanish),Dietary
446,NA,NA,17,Bocadillo (Spanish),Dietary
447,NA,NA,91,Other,Dietary
448,NA,NA,3,Dinner,Dietary
449,NA,NA,4,Supper,Dietary
450,NA,NA,6,Snack,Dietary
451,NA,NA,7,Drink,Dietary
452,NA,NA,10,Desayano (breakfast),Dietary
453,NA,NA,11,Almuerzo (breakfast),Dietary
454,NA,NA,12,Comida (lunch),Dietary
455,NA,NA,13,Merienda (snack),Dietary
456,NA,NA,14,Cena (dinner),Dietary
457,NA,NA,15,Entre comida (snack),Dietary
458,NA,NA,16,Botana (snack),Dietary
459,NA,NA,17,Bocadillo (snack),Dietary
460,NA,NA,18,Tentempie (snack),Dietary
461,NA,NA,19,Bebida (drink),Dietary
462,NA,NA,0,Non-combination food,Dietary
463,NA,NA,90,Other mixtures,Dietary
464,NA,NA,9,Dried beans and vegetable w/ additions,Dietary
465,NA,NA,1,Beverage w/ additions,Dietary
466,NA,NA,3,Bread/baked products w/ additions,Dietary
467,NA,NA,2,Cereal w/ additions,Dietary
468,NA,NA,14,Chips w/ additions,Dietary
469,NA,NA,12,"Meat, poultry, fish",Dietary
470,NA,NA,7,Frozen meals,Dietary
471,NA,NA,10,Fruit w/ additions,Dietary
472,NA,NA,4,Salad,Dietary
473,NA,NA,5,Sandwiches,Dietary
474,NA,NA,6,Soup,Dietary
475,NA,NA,11,Tortilla products,Dietary
476,NA,NA,1,Beverage w/ adds,Dietary
477,NA,NA,2,Cereal w/ adds,Dietary
478,NA,NA,3,Bread/baked products w/ adds,Dietary
479,NA,NA,8,Ice cream/frozen yogurt w/ additions,Dietary
480,NA,NA,9,Dried beans and vegetable w/ adds,Dietary
481,NA,NA,10,Fruit w/ adds,Dietary
482,NA,NA,11,Tortilla Products,Dietary
483,NA,NA,13,Lunchables,Dietary
484,DRXDRSTZ,Dietary Recall Status,1,Reliable and met the minimum criteria,Dietary
485,DRXDRSTZ,Dietary Recall Status,2,Not reliable or not met the minimum criteria,Dietary
486,DRXDRSTZ,Dietary Recall Status,9,Interview lost due to computer malfunction or file transfer problem,Dietary
487,DRXDRSTZ,Dietary Recall Status,4,Reported consuming breast-milk,Dietary
488,DRXDRSTZ,Dietary Recall Status,88,Blank but applicable,Dietary
489,DRXDRSTZ,Dietary Recall Status,5,Not done,Dietary
490,NA,NA,2,No,Dietary
491,NA,NA,1,Yes (home),Dietary
492,NA,NA,7,Refused,Dietary
493,NA,NA,9,Don't know,Dietary
494,DRXTWSZ,Tap Water Source,1,Community supply,Dietary
495,DRXTWSZ,Tap Water Source,91,Other,Dietary
496,DRXTWSZ,Tap Water Source,4,Don't drink tap water,Dietary
497,DRXTWSZ,Tap Water Source,99,Don't know,Dietary
498,DBQ095Z,Type of salt you usually add at table,4,Doesn't use or add salt products at the table,Dietary
499,DBQ095Z,Type of salt you usually add at table,1,"Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",Dietary
500,DBQ095Z,Type of salt you usually add at table,2,Lite salt,Dietary
501,DBQ095Z,Type of salt you usually add at table,3,Salt substitute,Dietary
502,DBQ095Z,Type of salt you usually add at table,88,Blank but applicable,Dietary
503,DBQ095Z,Type of salt you usually add at table,99,Don't know,Dietary
504,DBQ095Z,Type of salt you usually add at table,7,Refused,Dietary
505,DBQ095Z,Type of salt you usually add at table,91,Other,Dietary
506,DRXHELP,Who helped in responding for this interview,1,SP,Dietary
507,DRXHELP,Who helped in responding for this interview,4,Parent of SP,Dietary
508,DRXHELP,Who helped in responding for this interview,5,Spouse of SP,Dietary
509,DRXHELP,Who helped in responding for this interview,6,Child of SP,Dietary
510,DRXHELP,Who helped in responding for this interview,7,Grandparent of SP,Dietary
511,DRXHELP,Who helped in responding for this interview,8,"Friend, Partner, Non Relative",Dietary
512,DRXHELP,Who helped in responding for this interview,9,"Translator, not a HH member",Dietary
513,DRXHELP,Who helped in responding for this interview,10,"Child care provider, Caretaker",Dietary
514,DRXHELP,Who helped in responding for this interview,11,Other Relative,Dietary
515,DRXHELP,Who helped in responding for this interview,12,No One,Dietary
516,DRXHELP,Who helped in responding for this interview,14,Other specify,Dietary
517,DRXHELP,Who helped in responding for this interview,77,Refused,Dietary
518,DRXHELP,Who helped in responding for this interview,99,Don't know,Dietary
519,DRXMRESP,Who was the main respondent for this interview?,1,SP,Dietary
520,DRXMRESP,Who was the main respondent for this interview?,97,Proxy,Dietary
521,DRXMRESP,Who was the main respondent for this interview?,98,SP and proxy,Dietary
522,DRXMRESP,Who was the main respondent for this interview?,88,Blank but applicable,Dietary
523,DRXMRESP,Who was the main respondent for this interview?,2,Mother of SP,Dietary
524,DRXMRESP,Who was the main respondent for this interview?,3,Father of SP,Dietary
525,DRXMRESP,Who was the main respondent for this interview?,5,Spouse of SP,Dietary
526,DRXMRESP,Who was the main respondent for this interview?,6,Child of SP,Dietary
527,DRXMRESP,Who was the main respondent for this interview?,7,Grandparent of SP,Dietary
528,DRXMRESP,Who was the main respondent for this interview?,8,"Friend, Partner, Non Relative",Dietary
529,DRXMRESP,Who was the main respondent for this interview?,9,"Translator, not a HH member",Dietary
530,DRXMRESP,Who was the main respondent for this interview?,10,"Child care provider, Caretaker",Dietary
531,DRXMRESP,Who was the main respondent for this interview?,11,Other Relative,Dietary
532,DRXMRESP,Who was the main respondent for this interview?,14,Other specify,Dietary
533,DRXMRESP,Who was the main respondent for this interview?,77,Refused,Dietary
534,DRXMRESP,Who was the main respondent for this interview?,99,Don't know,Dietary
535,DRXTWSZ,Tap Water Source,1,Community supply,Dietary
536,DRXTWSZ,Tap Water Source,91,Other,Dietary
537,DRXTWSZ,Tap Water Source,4,Don't drink tap water,Dietary
538,DRXTWSZ,Tap Water Source,99,Don't know,Dietary
539,DRXHELP,Who helped in responding for this interview,1,SP,Dietary
540,DRXHELP,Who helped in responding for this interview,4,Parent of SP,Dietary
541,DRXHELP,Who helped in responding for this interview,5,Spouse of SP,Dietary
542,DRXHELP,Who helped in responding for this interview,6,Child of SP,Dietary
543,DRXHELP,Who helped in responding for this interview,7,Grandparent of SP,Dietary
544,DRXHELP,Who helped in responding for this interview,8,"Friend, Partner, Non Relative",Dietary
545,DRXHELP,Who helped in responding for this interview,9,"Translator, not a HH member",Dietary
546,DRXHELP,Who helped in responding for this interview,10,"Child care provider, Caretaker",Dietary
547,DRXHELP,Who helped in responding for this interview,11,Other Relative,Dietary
548,DRXHELP,Who helped in responding for this interview,12,No One,Dietary
549,DRXHELP,Who helped in responding for this interview,14,Other specify,Dietary
550,DRXHELP,Who helped in responding for this interview,77,Refused,Dietary
551,DRXHELP,Who helped in responding for this interview,99,Don't know,Dietary
552,DRXMRESP,Who was the main respondent for this interview?,1,SP,Dietary
553,DRXMRESP,Who was the main respondent for this interview?,2,Mother of SP,Dietary
554,DRXMRESP,Who was the main respondent for this interview?,3,Father of SP,Dietary
555,DRXMRESP,Who was the main respondent for this interview?,5,Spouse of SP,Dietary
556,DRXMRESP,Who was the main respondent for this interview?,6,Child of SP,Dietary
557,DRXMRESP,Who was the main respondent for this interview?,7,Grandparent of SP,Dietary
558,DRXMRESP,Who was the main respondent for this interview?,8,"Friend, Partner, Non Relative",Dietary
559,DRXMRESP,Who was the main respondent for this interview?,9,"Translator, not a HH member",Dietary
560,DRXMRESP,Who was the main respondent for this interview?,10,"Child care provider, Caretaker",Dietary
561,DRXMRESP,Who was the main respondent for this interview?,11,Other Relative,Dietary
562,DRXMRESP,Who was the main respondent for this interview?,14,Other specify,Dietary
563,DRXMRESP,Who was the main respondent for this interview?,77,Refused,Dietary
564,DRXMRESP,Who was the main respondent for this interview?,99,Don't know,Dietary
565,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,1,Rarely,Dietary
566,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,2,Occasionally,Dietary
567,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,3,Very often,Dietary
568,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,88,Blank but applicable,Dietary
569,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,9,Don't know,Dietary
570,DBD100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table? Would you say . . .,7,Refused,Dietary
